,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Class
31,Female,Yes,0,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban,Y
32,Male,Yes,,Not Graduate,No,2875,1750.0,105.0,360.0,1.0,Semiurban,Y
33,Male,No,0,Graduate,No,3229,2739.0,110.0,360.0,1.0,Urban,Y
34,Female,No,0,Graduate,No,10000,1666.0,225.0,360.0,1.0,Rural,Y
35,Male,Yes,0,Not Graduate,No,6096,0.0,218.0,360.0,0.0,Rural,N
36,Male,Yes,0,Graduate,No,3708,2569.0,173.0,360.0,1.0,Urban,Y
37,Male,Yes,3+,Graduate,No,5703,0.0,128.0,360.0,1.0,Urban,Y
38,Male,Yes,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,Y
39,Female,Yes,2,Graduate,No,1378,1881.0,167.0,360.0,1.0,Urban,N
40,Male,No,0,Graduate,No,5316,0.0,136.0,360.0,1.0,Urban,Y
41,Male,Yes,1,Not Graduate,No,2239,2524.0,128.0,360.0,1.0,Urban,Y
42,Male,Yes,1,Graduate,Yes,10000,0.0,155.0,360.0,1.0,Rural,N
43,Male,Yes,0,Graduate,No,2785,2016.0,110.0,360.0,1.0,Rural,Y
44,Male,No,0,Graduate,No,2014,1929.0,74.0,360.0,1.0,Urban,Y
45,Male,Yes,2,Not Graduate,No,3917,0.0,124.0,360.0,1.0,Semiurban,Y
46,Male,Yes,1,Graduate,,4166,3369.0,201.0,360.0,,Urban,Y
47,Male,Yes,0,Graduate,No,3166,2064.0,104.0,360.0,0.0,Urban,N
48,Male,Yes,0,Graduate,No,3948,1733.0,149.0,360.0,0.0,Rural,N
49,Female,No,0,Graduate,No,5000,0.0,103.0,360.0,0.0,Semiurban,N
50,Male,No,1,Not Graduate,Yes,2769,1542.0,190.0,360.0,,Semiurban,N
51,Female,No,0,Graduate,No,10000,0.0,214.0,360.0,1.0,Semiurban,Y
52,Male,Yes,0,Not Graduate,No,1800,2934.0,93.0,360.0,0.0,Urban,N
53,Female,No,0,Not Graduate,No,3400,0.0,95.0,360.0,1.0,Rural,Y
54,Male,Yes,0,Graduate,No,3208,3066.0,172.0,360.0,1.0,Urban,Y
55,Male,Yes,2,Not Graduate,No,2281,0.0,113.0,360.0,1.0,Rural,Y
56,Male,No,0,Graduate,No,3750,4750.0,176.0,360.0,1.0,Urban,Y
57,Male,Yes,1,Graduate,Yes,7787,0.0,240.0,360.0,1.0,Urban,Y
58,Male,Yes,1,Graduate,No,2787,1917.0,146.0,360.0,0.0,Rural,N
59,Male,Yes,2,Graduate,No,6540,0.0,205.0,360.0,1.0,Semiurban,Y
60,Male,Yes,3+,Graduate,No,39999,0.0,600.0,180.0,0.0,Semiurban,N
61,Male,Yes,1,Graduate,,3717,2925.0,151.0,360.0,,Semiurban,Y
62,Male,Yes,2,Graduate,Yes,6633,0.0,,360.0,0.0,Rural,N
63,Female,Yes,0,Not Graduate,Yes,7142,0.0,138.0,360.0,1.0,Rural,N
64,Male,Yes,2,Graduate,No,3100,1400.0,113.0,360.0,1.0,Urban,Y
65,Female,No,0,Graduate,No,6000,0.0,156.0,360.0,1.0,Urban,Y
66,Female,No,2,Graduate,,3750,2083.0,120.0,360.0,1.0,Semiurban,Y
67,Male,Yes,1,Graduate,Yes,16667,2250.0,86.0,360.0,1.0,Semiurban,Y
68,Male,Yes,3+,Graduate,No,5250,0.0,94.0,360.0,1.0,Urban,Y
69,Male,Yes,0,Not Graduate,No,6033,0.0,160.0,360.0,1.0,Urban,Y
70,Female,No,0,Not Graduate,No,2720,0.0,80.0,,0.0,Urban,N
71,Male,Yes,0,Graduate,No,3103,1300.0,80.0,360.0,1.0,Urban,Y
72,Male,Yes,0,Not Graduate,Yes,4344,736.0,87.0,360.0,1.0,Semiurban,Y
73,Male,Yes,2,Graduate,No,5042,2083.0,185.0,360.0,1.0,Rural,Y
74,Male,Yes,3+,Graduate,No,3167,4000.0,180.0,300.0,0.0,Semiurban,N
75,Male,Yes,1,Graduate,Yes,2395,0.0,,360.0,1.0,Semiurban,Y
76,Male,Yes,2,Graduate,No,3510,4416.0,243.0,360.0,1.0,Rural,Y
77,Male,Yes,1,Graduate,No,4945,0.0,,360.0,0.0,Rural,N
78,Female,No,0,Graduate,No,3180,0.0,71.0,360.0,0.0,Urban,N
79,Male,No,0,Graduate,No,3500,0.0,81.0,300.0,1.0,Semiurban,Y
80,Male,Yes,0,Graduate,No,4333,2451.0,110.0,360.0,1.0,Urban,N
81,Male,Yes,2,Graduate,No,3159,461.0,108.0,84.0,1.0,Urban,Y
82,Male,Yes,3+,Graduate,No,6406,0.0,150.0,360.0,1.0,Semiurban,Y
83,Female,No,0,Graduate,No,2378,0.0,9.0,360.0,1.0,Urban,Y
84,Male,,,Graduate,No,3816,754.0,160.0,360.0,1.0,Urban,Y
85,Male,Yes,0,Graduate,Yes,5818,2160.0,184.0,360.0,1.0,Semiurban,Y
86,Male,Yes,1,Graduate,No,3417,1750.0,186.0,360.0,1.0,Urban,Y
87,Male,Yes,2,Graduate,Yes,2726,0.0,106.0,360.0,0.0,Semiurban,N
88,Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y
89,Male,Yes,0,Graduate,No,20667,0.0,,360.0,1.0,Rural,Y
90,Male,Yes,3+,Graduate,No,4000,7750.0,290.0,360.0,1.0,Semiurban,Y
91,Male,No,0,Graduate,No,6500,0.0,105.0,360.0,0.0,Rural,N
92,Male,Yes,0,Not Graduate,No,1668,3890.0,201.0,360.0,0.0,Semiurban,N
93,Male,Yes,1,Graduate,No,6325,0.0,175.0,360.0,1.0,Semiurban,Y
94,Male,Yes,0,Graduate,No,3887,2669.0,162.0,360.0,1.0,Semiurban,Y
95,Male,Yes,2,Graduate,No,2045,1619.0,101.0,360.0,1.0,Rural,Y
96,Female,No,0,Graduate,Yes,2500,0.0,93.0,360.0,,Urban,Y
97,Male,Yes,2,Not Graduate,No,3333,2000.0,99.0,360.0,,Semiurban,Y
98,Male,No,0,Graduate,No,1916,5063.0,67.0,360.0,,Rural,Y
99,Male,No,0,Graduate,,2980,2083.0,120.0,360.0,1.0,Rural,Y
100,Male,Yes,0,Graduate,No,3927,800.0,112.0,360.0,1.0,Semiurban,Y
101,Male,Yes,1,Graduate,No,2750,1842.0,115.0,360.0,1.0,Semiurban,Y
102,Male,No,0,Not Graduate,No,3833,0.0,110.0,360.0,1.0,Rural,Y
103,,Yes,0,Graduate,Yes,674,5296.0,168.0,360.0,1.0,Rural,Y
104,Male,Yes,1,Graduate,No,6083,4250.0,330.0,360.0,,Urban,Y
105,Male,Yes,2,Not Graduate,No,2309,1255.0,125.0,360.0,0.0,Rural,N
106,Male,Yes,0,Graduate,No,2666,4300.0,121.0,360.0,1.0,Rural,Y
107,Male,Yes,3+,Not Graduate,No,4755,0.0,95.0,,0.0,Semiurban,N
108,Male,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,Y
109,Female,No,0,Graduate,No,2995,0.0,60.0,360.0,1.0,Urban,Y
110,Female,No,1,Graduate,No,3812,0.0,112.0,360.0,1.0,Rural,Y
111,Male,No,0,Not Graduate,No,3200,2254.0,126.0,180.0,0.0,Urban,N
112,Male,Yes,0,Graduate,No,3704,2000.0,120.0,360.0,1.0,Rural,Y
113,Male,Yes,1,Graduate,No,5500,1260.0,170.0,360.0,1.0,Rural,Y
114,Male,Yes,0,Graduate,No,2400,0.0,75.0,360.0,,Urban,Y
115,Male,No,0,Not Graduate,No,3902,1666.0,109.0,360.0,1.0,Rural,Y
116,Male,Yes,0,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,Y
117,Male,Yes,0,Graduate,No,5568,2142.0,175.0,360.0,1.0,Rural,Y
118,Male,Yes,0,Graduate,,3716,0.0,42.0,180.0,1.0,Rural,Y
119,Female,No,0,Graduate,No,2507,0.0,56.0,360.0,1.0,Rural,N
120,Male,Yes,1,Graduate,No,2882,1843.0,123.0,480.0,1.0,Semiurban,Y
121,Male,Yes,2,Graduate,,2500,1840.0,109.0,360.0,1.0,Urban,Y
122,Male,Yes,0,Graduate,,63337,0.0,490.0,180.0,1.0,Urban,Y
